date,projectCode,numberOfSchools,newSchools
2011-12-1,"PRJ2.1",1188,0
2012-3-1,"PRJ2.1",1237,49
2012-6-1,"PRJ2.1",1287,50
2012-9-1,"PRJ2.1",1338,51
2012-12-1,"PRJ2.1",1390,52
2013-3-1,"PRJ2.1",1443,53
2013-6-1,"PRJ2.1",1497,54
2013-9-1,"PRJ2.1",1553,56
2013-12-1,"PRJ2.1",1611,58
2014-3-1,"PRJ2.1",,
2014-6-1,"PRJ2.1",,
2014-9-1,"PRJ2.1",,
2014-12-1,"PRJ2.1",,
2015-3-1,"PRJ2.1",,
2015-6-1,"PRJ2.1",,
2015-9-1,"PRJ2.1",,
2015-12-1,"PRJ2.1",,
2016-3-1,"PRJ2.1",,
2016-6-1,"PRJ2.1",,
2016-9-1,"PRJ2.1",,
2016-12-1,"PRJ2.1",2000,389
